UniProtID	Accessions	kinase	networkin_id	psp_id	netphorest_group	ECs	gene_names	Descriptions
A9UF07_HUMAN	A9UF07	BCR-ABL1 (PSP)		BCR-ABL1			BCR/ABL fusion	2.7.10.2;Non-specific protein-tyrosine kinase
AAK1_HUMAN	Q2M2I8	AAK1	AAK1	AAK1		2.7.11.1	AAK1;KIAA1048	2.7.11.1;AP2-associated protein kinase 1;Adaptor-associated kinase 1
AAKB1_HUMAN	Q9Y478	AMPKB1 (PSP)		AMPKB1			PRKAB1;AMPK	5'-AMP-activated protein kinase subunit beta-1;AMPK subunit beta-1;AMPKb
AAKG2_HUMAN	Q9UGJ0	AMPKG2 (PSP)		AMPKG2			PRKAG2	5'-AMP-activated protein kinase subunit gamma-2;AMPK gamma2;AMPK subunit gamma-2;H91620p;Isoform C of 5'-AMP-activated protein kinase subunit gamma-2
AAPK1_HUMAN	Q13131	AMPK_group	AMPKa1	AMPKA1	AMPK_group	2.7.11.1;2.7.11.26;2.7.11.27;2.7.11.31	PRKAA1;AMPK1	2.7.11.1;2.7.11.26;5'-AMP-activated protein kinase catalytic subunit alpha-1;AMPK subunit alpha-1;Acetyl-CoA carboxylase kinase;ACACA kinase;2.7.11.27;Hydroxymethylglutaryl-CoA reductase kinase;HMGCR kinase;2.7.11.31;Tau-protein kinase PRKAA1;Isoform 2 of 5'-AMP-activated protein kinase catalytic subunit alpha-1
AAPK2_HUMAN	P54646	AMPK_group	AMPKa2	AMPKA2	AMPK_group	2.7.11.1;2.7.11.27;2.7.11.31	AMPK;PRKAA2;AMPK2	2.7.11.1;Acetyl-CoA carboxylase kinase;ACACA kinase;2.7.11.27;Hydroxymethylglutaryl-CoA reductase kinase;HMGCR kinase;2.7.11.31;5'-AMP-activated protein kinase catalytic subunit alpha-2;AMPK subunit alpha-2
ABL1_HUMAN	P00519	Abl	Abl	Abl	Abl_group	2.7.10.2	ABL1;ABL;JTK7	2.7.10.2;Tyrosine-protein kinase ABL1;Abelson murine leukemia viral oncogene homolog 1;Abelson tyrosine-protein kinase 1;Proto-oncogene c-Abl;p150
ABL2_HUMAN	P42684	Abl2	Abl2	Arg	Abl_group	2.7.10.2	ARG;ABL2;ABLL	EC 2.7.10.2;Tyrosine-protein kinase ABL2;Abelson murine leukemia viral oncogene homolog 2;Abelson tyrosine-protein kinase 2;Abelson-related gene protein;Tyrosine-protein kinase ARG
ACK1_HUMAN	Q07912	TNK2	TNK2	Ack		2.7.10.2;2.7.11.1	TNK2;ACK1	2.7.11.1;2.7.10.2;Activated CDC42 kinase 1;ACK-1;Tyrosine kinase non-receptor protein 2
ACV1B_HUMAN	P36896	ALK4 (PSP)		ALK4		2.7.11.30	ACVR1B;ACVRLK4;ALK4	EC 2.7.11.30;Activin receptor type-1B;Activin receptor type IB;ACTR-IB;Activin receptor-like kinase 4;ALK-4;Serine/threonine-protein kinase receptor R2;SKR2;Isoform 5 of Activin receptor type-1B
ACVL1_HUMAN	P37023	ALK1 (PSP)		ALK1		2.7.11.30	ACVRL1;ACVRLK1;ALK1	EC 2.7.11.30;TGF-B superfamily receptor type I;TSR-I;Serine/threonine-protein kinase receptor R3;SKR3;Activin receptor-like kinase 1;ALK-1
ADCK5_HUMAN	Q3MIX3	ADCK5 (PSP)		ADCK5			ADCK5	Uncharacterized aarF domain-containing protein kinase 5;2.7.11.-
AKT1_HUMAN	P31749	PKBalpha (NetworKIN)	PKBalpha	Akt1	PKB_group	2.7.11.1	AKT1;PKB;RAC	2.7.11.1;PKB;RAC-alpha serine/threonine-protein kinase;Protein kinase B;Protein kinase B alpha;PKB alpha;Proto-oncogene c-Akt;RAC-PK-alpha;Isoform 2 of RAC-alpha serine/threonine-protein kinase
AKT2_HUMAN	P31751	PKB_beta	PKBbeta	Akt2	PKB_group	2.7.11.1	AKT2	EC 2.7.11.1;RAC-beta serine/threonine-protein kinase;Protein kinase Akt-2;Protein kinase B beta;PKB beta;RAC-PK-beta;Isoform 2 of RAC-beta serine/threonine-protein kinase
AKT3_HUMAN	Q9Y243	PKB_group	PKBgamma	Akt3	PKB_group	2.7.11.1	AKT3;PKBG	EC 2.7.11.1;RAC-gamma serine/threonine-protein kinase;Protein kinase Akt-3;Protein kinase B gamma;PKB gamma;RAC-PK-gamma;STK-2;Isoform 2 of RAC-gamma serine/threonine-protein kinase
ALK_HUMAN	Q9UM73	ALK	ALK	ALK		2.7.10.1	ALK	2.7.10.1;ALK tyrosine kinase receptor;Anaplastic lymphoma kinase;CD246
ALPK1_HUMAN	Q96QP1	AlphaK3 (PSP)		AlphaK3		2.7.11.1	ALPK1;KIAA1527;LAK	2.7.11.1;Alpha-protein kinase 1;Chromosome 4 kinase;Lymphocyte alpha-protein kinase;Isoform 2 of Alpha-protein kinase 1
ALPK3_HUMAN	Q96L96	MAK (NetworKIN)	MAK		RCK_group	2.7.11.1	ALPK3;KIAA1330;MAK	2.7.11.1;Alpha-protein kinase 3;Muscle alpha-protein kinase
ARAF_HUMAN	P10398	ARAF (NetworKIN)	ARAF	ARAF	ARAF_BRAF_RAF1_group	2.7.11.1	ARAF;ARAF1;PKS;PKS2	EC 2.7.11.1;Serine/threonine-protein kinase A-Raf;Proto-oncogene A-Raf;Proto-oncogene A-Raf-1;Proto-oncogene Pks;Isoform 2 of Serine/threonine-protein kinase A-Raf
ARBK1_HUMAN	P25098	GRK-2	GRK2	GRK2	GRK_group	2.7.11.15	GRK2;ADRBK1;BARK;BARK1	Beta-adrenergic receptor kinase 1;Beta-ARK-1;2.7.11.15;G-protein coupled receptor kinase 2
ARBK2_HUMAN	P35626	GRK-3	GRK3	GRK3	GRK_group	2.7.11.15	GRK3;ADRBK2;BARK2	2.7.11.15;Beta-adrenergic receptor kinase 2;Beta-ARK-2;G-protein-coupled receptor kinase 3
ARP2	P61160-2	ACTR2 (NetworKIN)	ACTR2		ACTR2_ACTR2B_TGFbR2_group		ARP2;ACTR2	Actin-like protein 2;Isoform 2 of Actin-related protein 2
ARP2_HUMAN	P61160	ACTR2 (NetworKIN)	ACTR2		ACTR2_ACTR2B_TGFbR2_group		ARP2;ACTR2	Actin-related protein 2;Actin-like protein 2
ATM_HUMAN	Q13315	ATM	ATM	ATM	ATM_ATR_group	2.7.11.1	ATM	2.7.11.1;Serine-protein kinase ATM;Ataxia telangiectasia mutated;A-T mutated
ATR_HUMAN	Q13535	ATR	ATR	ATR	ATM_ATR_group	2.7.11.1	ATR;FRP1	EC 2.7.11.1;Serine/threonine-protein kinase ATR;Ataxia telangiectasia and Rad3-related protein;FRAP-related protein 1;Isoform 2 of Serine/threonine-protein kinase ATR
AURKA_HUMAN	O14965	Aurora A	AuroraA	AurA	AuroraA	2.7.11.1	AURKA;AIK;AIRK1;ARK1;AURA;AYK1;BTAK;IAK1;STK15;STK6	2.7.11.1;Aurora kinase A;Aurora 2;Aurora/IPL1-related kinase 1;ARK-1;Aurora-related kinase 1;hARK1;Breast tumor-amplified kinase;Serine/threonine-protein kinase 15;Serine/threonine-protein kinase 6;Serine/threonine-protein kinase aurora-A
AURKB_HUMAN	Q96GD4	Aurora B	AuroraB	AurB	AuroraC_AuroraB_group	2.7.11.1	STK1;AURKB;AIK2;AIM1;AIRK2;ARK2;STK12;STK5	2.7.11.1;STK-1;Aurora kinase B;Aurora 1;Aurora- and IPL1-like midbody-associated protein 1;AIM-1;Aurora/IPL1-related kinase 2;ARK-2;Aurora-related kinase 2;Serine/threonine-protein kinase 12;Serine/threonine-protein kinase 5;Serine/threonine-protein kinase aurora-B;Isoform 3 of Aurora kinase B
AURKC_HUMAN	Q9UQB9	AuroraC (NetworKIN)	AuroraC	AurC	AuroraC_AuroraB_group	2.7.11.1	AURKC;AIE2;AIK3;AIRK3;ARK3;STK13	EC 2.7.11.1;Aurora kinase C;Aurora 3;Aurora/IPL1-related kinase 3;ARK-3;Aurora-related kinase 3;Aurora/IPL1/Eg2 protein 2;Serine/threonine-protein kinase 13;Serine/threonine-protein kinase aurora-C
BAZ1B_HUMAN	Q9UIG0	WSTF (PSP)		WSTF		2.7.10.2	BAZ1B;WBSC10;WBSCR10;WBSCR9;WSTF	2.7.10.2;Tyrosine-protein kinase BAZ1B;Bromodomain adjacent to zinc finger domain protein 1B;Williams syndrome transcription factor;Williams-Beuren syndrome chromosomal region 10 protein;Williams-Beuren syndrome chromosomal region 9 protein;hWALp2;Isoform 2 of Tyrosine-protein kinase BAZ1B
BCKD_HUMAN	O14874	BCKDK	BCKDK		PDHK_group	2.7.11.4	BCKDK	"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial;EC 2.7.11.4;Branched-chain alpha-ketoacid dehydrogenase kinase;BCKD-kinase;BCKDHKIN"
BCR_HUMAN	P11274	Bcr (PSP)		Bcr		2.7.11.1	BCR;BCR1;D22S11	2.7.11.1;Breakpoint cluster region protein;Renal carcinoma antigen NY-REN-26
BIEA_HUMAN	P53004	BVR (PSP)		BVR		1.3.1.24	BLVRA;BLVR;BVR	1.3.1.24;Biliverdin reductase A;BVR A;Biliverdin-IX alpha-reductase
BIP_HUMAN	P11021	GRP78 (PSP)		GRP78		3.6.4.10	HSPA5;GRP78	3.6.4.10;Endoplasmic reticulum chaperone BiP;78 kDa glucose-regulated protein;GRP-78;Binding-immunoglobulin protein;BiP;Heat shock protein 70 family protein 5;HSP70 family protein 5;Heat shock protein family A member 5;Immunoglobulin heavy chain-binding protein
